Date,Symbol,High,Low,Close,Volume
2022-11-11T00:00:00+0000,NVDA,163.89,154.82,163.27,65503700.0
2022-11-10T00:00:00+0000,NVDA,157.73,145.4701,157.5,70081925.0
2022-11-09T00:00:00+0000,NVDA,142.11,137.5901,137.76,45441366.0
2022-11-08T00:00:00+0000,NVDA,148.9101,142.16,146.02,58925347.0
2022-11-07T00:00:00+0000,NVDA,144.12,139.54,143.01,40839062.0
2022-11-04T00:00:00+0000,NVDA,142.29,136.97,141.56,61205400.0
2022-11-03T00:00:00+0000,NVDA,137.81,129.56,134.21,50006486.0
2022-11-02T00:00:00+0000,NVDA,142.1,132.1124,132.19,65910065.0
2022-11-01T00:00:00+0000,NVDA,139.25,135.19,135.43,43281690.0
2022-10-31T00:00:00+0000,NVDA,138.38,132.98,134.97,48554346.0
2022-10-28T00:00:00+0000,NVDA,138.5,130.61,138.34,52055500.0
2022-10-27T00:00:00+0000,NVDA,138.38,131.22,131.76,58270600.0
2022-10-26T00:00:00+0000,NVDA,133.88,127.08,128.96,53553329.0
2022-10-25T00:00:00+0000,NVDA,133.0,126.64,132.61,50341900.0
2023-10-24T00:00:00+0000,TSLA,222.05,214.11,216.52,118231113.0
2023-10-23T00:00:00+0000,TSLA,216.98,202.51,212.08,150683368.0
2023-10-20T00:00:00+0000,TSLA,218.8606,210.42,211.99,138010095.0
2023-10-19T00:00:00+0000,TSLA,230.61,216.78,220.11,170772713.0
2023-10-18T00:00:00+0000,TSLA,254.63,242.08,242.68,125147846.0
2023-10-17T00:00:00+0000,TSLA,257.183,247.08,254.85,93562909.0
2023-10-16T00:00:00+0000,TSLA,255.3999,248.48,253.92,88917176.0
2023-10-13T00:00:00+0000,TSLA,259.6,250.22,251.12,102296786.0
2023-10-12T00:00:00+0000,TSLA,265.41,256.6307,258.87,111508114.0
2023-10-11T00:00:00+0000,TSLA,268.6,260.9,262.99,103706266.0
2023-10-10T00:00:00+0000,TSLA,268.94,257.65,263.62,122656030.0
2023-10-09T00:00:00+0000,TSLA,261.36,252.05,259.67,101377947.0
2023-10-06T00:00:00+0000,TSLA,261.65,250.65,260.53,118121812.0
2023-10-05T00:00:00+0000,TSLA,263.6,256.25,260.05,119159214.0
2023-10-04T00:00:00+0000,TSLA,261.86,247.6,261.16,129721567.0
2023-10-03T00:00:00+0000,TSLA,250.02,244.45,246.53,101985305.0
2023-10-02T00:00:00+0000,TSLA,254.2799,242.62,251.6,123810402.0
2023-09-29T00:00:00+0000,TSLA,254.77,246.35,250.22,128522729.0
2023-09-28T00:00:00+0000,TSLA,247.55,238.65,246.38,117058870.0
2023-09-27T00:00:00+0000,TSLA,245.33,234.58,240.5,136597184.0
2023-09-26T00:00:00+0000,TSLA,249.55,241.6601,244.12,101993631.0
2023-09-25T00:00:00+0000,TSLA,247.1,238.31,246.99,104636557.0
2023-09-22T00:00:00+0000,TSLA,257.7888,244.48,244.88,127524083.0
2023-09-21T00:00:00+0000,TSLA,260.86,254.21,255.7,119951516.0
2023-09-20T00:00:00+0000,TSLA,273.93,262.4606,262.59,122514602.0
2023-09-19T00:00:00+0000,TSLA,267.85,261.2,266.5,103704040.0
2023-09-18T00:00:00+0000,TSLA,271.44,263.7601,265.28,101543305.0
2023-09-15T00:00:00+0000,TSLA,278.98,271.0,274.39,133692313.0
2023-09-14T00:00:00+0000,TSLA,276.7094,270.42,276.04,107709842.0
2023-09-13T00:00:00+0000,TSLA,274.98,268.1,271.3,111673737.0
2023-09-12T00:00:00+0000,TSLA,278.39,266.6,267.48,135999866.0
2023-09-11T00:00:00+0000,TSLA,274.85,260.61,273.58,174667852.0
2023-09-08T00:00:00+0000,TSLA,256.52,246.67,248.5,118559635.0
2023-09-07T00:00:00+0000,TSLA,252.81,243.265,251.49,115312886.0
2023-09-06T00:00:00+0000,TSLA,255.39,245.06,251.92,116959759.0
2023-09-05T00:00:00+0000,TSLA,258.0,244.86,256.49,129469565.0
2023-09-01T00:00:00+0000,TSLA,259.0794,242.01,245.01,132541640.0
2023-08-31T00:00:00+0000,TSLA,261.18,255.05,258.08,108861698.0
2023-08-30T00:00:00+0000,TSLA,260.51,250.59,256.9,121988437.0
2023-08-29T00:00:00+0000,TSLA,257.48,237.77,257.18,134047603.0
2023-08-28T00:00:00+0000,TSLA,244.38,235.35,238.82,107673727.0
2023-08-25T00:00:00+0000,TSLA,239.0,230.35,238.59,106612231.0
2023-08-24T00:00:00+0000,TSLA,238.92,228.1801,230.04,99777432.0
2023-08-23T00:00:00+0000,TSLA,238.98,229.29,236.86,101077635.0
2023-08-22T00:00:00+0000,TSLA,240.82,229.55,233.19,130597886.0
2023-08-21T00:00:00+0000,TSLA,232.1343,220.58,231.28,135702671.0
2023-08-18T00:00:00+0000,TSLA,217.58,212.36,215.49,136276584.0
2023-08-17T00:00:00+0000,TSLA,226.74,218.83,219.22,120718417.0
2023-08-16T00:00:00+0000,TSLA,233.97,225.38,225.6,112484520.0
2023-08-15T00:00:00+0000,TSLA,240.5,232.61,232.96,88197599.0
2023-08-14T00:00:00+0000,TSLA,240.66,233.75,239.76,98595331.0
2023-08-11T00:00:00+0000,TSLA,243.79,238.02,242.65,99038642.0
2023-08-10T00:00:00+0000,TSLA,251.8,243.0,245.34,109498608.0
2023-08-09T00:00:00+0000,TSLA,251.1,241.9,242.19,101596324.0
2023-08-08T00:00:00+0000,TSLA,250.92,245.01,249.7,96642183.0
2023-08-07T00:00:00+0000,TSLA,253.6511,242.76,251.45,111097943.0
2023-08-04T00:00:00+0000,TSLA,264.77,253.11,253.86,99539907.0
2023-08-03T00:00:00+0000,TSLA,260.49,252.0,259.32,97829545.0
2023-08-02T00:00:00+0000,TSLA,259.52,250.49,254.11,101752865.0
2023-08-01T00:00:00+0000,TSLA,266.47,260.25,261.07,83645720.0
2023-07-31T00:00:00+0000,TSLA,269.08,263.78,267.43,84582172.0
2023-07-28T00:00:00+0000,TSLA,267.25,258.2312,266.44,111446026.0
2023-07-27T00:00:00+0000,TSLA,269.13,255.3,255.71,103697263.0
2023-07-26T00:00:00+0000,TSLA,268.04,261.75,264.35,95856177.0
2023-07-25T00:00:00+0000,TSLA,272.9,265.0,265.28,112757327.0
2023-07-24T00:00:00+0000,TSLA,269.85,254.12,269.06,137005037.0
2023-07-21T00:00:00+0000,TSLA,268.0,255.8,260.02,161796073.0
2023-07-20T00:00:00+0000,TSLA,280.93,261.2,262.9,175158273.0
2023-07-19T00:00:00+0000,TSLA,299.29,289.5201,291.26,142355353.0
2023-07-18T00:00:00+0000,TSLA,295.26,286.01,293.34,112434713.0
2023-07-17T00:00:00+0000,TSLA,292.23,283.57,290.38,131569593.0
